show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,description
s1000,Movie,Title_0,Christopher Nolan,Canada,12/4/2023,2003,TV-14,147 min,Thriller,A thriller themed movie exploring unique stories.
s1001,TV Show,Title_1,Unknown,South Korea,10/4/2020,2007,TV-MA,4 Seasons,Drama,A drama themed tv show exploring unique stories.
s1002,Movie,Title_2,Unknown,United States,6/30/2016,2002,R,115 min,Romance,A romance themed movie exploring unique stories.
s1003,Movie,Title_3,Christopher Nolan,Japan,2/9/2018,2008,PG-13,175 min,Drama,A drama themed movie exploring unique stories.
s1004,Movie,Title_4,Christopher Nolan,Canada,4/4/2024,2001,TV-14,121 min,Romance,A romance themed movie exploring unique stories.
s1005,TV Show,Title_5,Anurag Kashyap,South Korea,9/14/2020,2001,PG,6 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1006,Movie,Title_6,Zoya Akhtar,Japan,8/2/2020,2012,PG-13,132 min,Drama,A drama themed movie exploring unique stories.
s1007,Movie,Title_7,Sanjay Leela Bhansali,United Kingdom,3/14/2016,2014,TV-14,110 min,Comedy,A comedy themed movie exploring unique stories.
s1008,Movie,Title_8,Raj Kumar,United Kingdom,10/19/2019,2022,TV-MA,122 min,Drama,A drama themed movie exploring unique stories.
s1009,TV Show,Title_9,Zoya Akhtar,Canada,6/4/2019,2011,TV-MA,8 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1010,Movie,Title_10,Unknown,South Korea,1/24/2020,2003,PG-13,151 min,Action,A action themed movie exploring unique stories.
s1011,Movie,Title_11,Christopher Nolan,South Korea,3/27/2022,2007,PG-13,172 min,Documentary,A documentary themed movie exploring unique stories.
s1012,Movie,Title_12,Zoya Akhtar,Japan,5/20/2019,2008,TV-G,71 min,Documentary,A documentary themed movie exploring unique stories.
s1013,Movie,Title_13,Sanjay Leela Bhansali,Japan,4/19/2024,2022,R,148 min,Documentary,A documentary themed movie exploring unique stories.
s1014,TV Show,Title_14,Unknown,South Korea,7/22/2019,2004,TV-14,4 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1015,Movie,Title_15,Raj Kumar,Japan,11/3/2015,2023,PG-13,69 min,Romance,A romance themed movie exploring unique stories.
s1016,TV Show,Title_16,Raj Kumar,South Korea,11/14/2024,2019,R,5 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1017,TV Show,Title_17,Sanjay Leela Bhansali,United States,9/10/2016,2017,TV-G,2 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1018,TV Show,Title_18,Sanjay Leela Bhansali,South Korea,2/6/2018,2010,R,8 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1019,Movie,Title_19,Christopher Nolan,United Kingdom,10/27/2018,2014,PG-13,67 min,Drama,A drama themed movie exploring unique stories.
s1020,TV Show,Title_20,Raj Kumar,Japan,8/1/2021,2021,TV-MA,8 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1021,Movie,Title_21,Unknown,South Korea,2/6/2021,2008,TV-14,112 min,Drama,A drama themed movie exploring unique stories.
s1022,TV Show,Title_22,Zoya Akhtar,South Korea,10/11/2018,2016,TV-14,2 Seasons,Drama,A drama themed tv show exploring unique stories.
s1023,TV Show,Title_23,Unknown,Japan,8/27/2019,2011,TV-MA,4 Seasons,Drama,A drama themed tv show exploring unique stories.
s1024,TV Show,Title_24,Anurag Kashyap,United States,10/16/2020,2006,PG-13,7 Seasons,Action,A action themed tv show exploring unique stories.
